Product Code,Suppler TIN,Supplier Name,Qty,Unit Price
4306356819531300000,,Opening Stock,100,1080
4306356819531300000,,Opening Stock,100,1080
4276231618068120000,,Opening Stock,100,1080
4276231618068120000,,Opening Stock,100,1080
4251359591331170000,,Opening Stock,100,1080
4251359591331170000,,Opening Stock,100,1080
4242798767859730000,,Opening Stock,100,1080
4242798767859730000,,Opening Stock,100,1080
4188508488592160000,,Opening Stock,100,1080
4188508488592160000,,Opening Stock,100,1080
4188502840626280000,,Opening Stock,100,1080
4188502840626280000,,Opening Stock,100,1080
4188498373784800000,,Opening Stock,100,1080
4188498373784800000,,Opening Stock,100,1080
4188481052005530000,,Opening Stock,100,1080
4188481052005530000,,Opening Stock,100,1080
4188474583700900000,,Opening Stock,100,1080
4188474583700900000,,Opening Stock,100,1080
4188454526128130000,,Opening Stock,100,1080
4188454526128130000,,Opening Stock,100,1080
4188129691887900000,,Opening Stock,100,1080
4188129691887900000,,Opening Stock,100,1080
4188057222409780000,,Opening Stock,100,1080
4188057222409780000,,Opening Stock,100,1080
4187788334463880000,,Opening Stock,100,1080
4187788334463880000,,Opening Stock,100,1080
4187775599810350000,,Opening Stock,100,1080
4187775599810350000,,Opening Stock,100,1080
4135452182553990000,,Opening Stock,100,1080
4135452182553990000,,Opening Stock,100,1080
4134927030871290000,,Opening Stock,100,1080
4134927030871290000,,Opening Stock,100,1080
4112743580705920000,,Opening Stock,100,1080
4112743580705920000,,Opening Stock,100,1080
4083144505572620000,,Opening Stock,100,1080
4083144505572620000,,Opening Stock,100,1080
4054504748538040000,,Opening Stock,100,1080
4054504748538040000,,Opening Stock,100,1080
4054110362478220000,,Opening Stock,100,1080
4054110362478220000,,Opening Stock,100,1080
4054099886943930000,,Opening Stock,100,1080
4054099886943930000,,Opening Stock,100,1080
4054087938143580000,,Opening Stock,100,1080
4054087938143580000,,Opening Stock,100,1080
3960762256018280000,,Opening Stock,100,1080
3960762256018280000,,Opening Stock,100,1080
3960747502696560000,,Opening Stock,100,1080
3960747502696560000,,Opening Stock,100,1080
3920582496026000000,,Opening Stock,100,1080
3920582496026000000,,Opening Stock,100,1080
3898704168776270000,,Opening Stock,100,1080
3898704168776270000,,Opening Stock,100,1080
3879984907471980000,,Opening Stock,100,1080
3879984907471980000,,Opening Stock,100,1080
3879971962348270000,,Opening Stock,100,1080
3879971962348270000,,Opening Stock,100,1080
3879960894142050000,,Opening Stock,100,1080
3879960894142050000,,Opening Stock,100,1080
3879938624501740000,,Opening Stock,100,1080
3879938624501740000,,Opening Stock,100,1080
3802237326373850000,,Opening Stock,100,1080
3802237326373850000,,Opening Stock,100,1080
3787676485246940000,,Opening Stock,100,1080
3787676485246940000,,Opening Stock,100,1080
3782913087485410000,,Opening Stock,100,1080
3782913087485410000,,Opening Stock,100,1080
3753918020892660000,,Opening Stock,100,1080
3753918020892660000,,Opening Stock,100,1080
3739422270020290000,,Opening Stock,100,1080
3739422270020290000,,Opening Stock,100,1080
3731780531021320000,,Opening Stock,100,1080
3731780531021320000,,Opening Stock,100,1080
3690909089799240000,,Opening Stock,100,1080
3690909089799240000,,Opening Stock,100,1080
3650637359164060000,,Opening Stock,100,1080
3650637359164060000,,Opening Stock,100,1080
3650612714515890000,,Opening Stock,100,1080
3650612714515890000,,Opening Stock,100,1080
3646608078318500000,,Opening Stock,100,1080
3646608078318500000,,Opening Stock,100,1080
3642415851153290000,,Opening Stock,100,1080
3642415851153290000,,Opening Stock,100,1080
3642394878786040000,,Opening Stock,100,1080
3642394878786040000,,Opening Stock,100,1080
3642330084741640000,,Opening Stock,100,1080
3642330084741640000,,Opening Stock,100,1080
3639247175000420000,,Opening Stock,100,1080
3639247175000420000,,Opening Stock,100,1080
3639235355158150000,,Opening Stock,100,1080
3639235355158150000,,Opening Stock,100,1080
3639180310555300000,,Opening Stock,100,1080
3639180310555300000,,Opening Stock,100,1080
3639142613442790000,,Opening Stock,100,1080
3639142613442790000,,Opening Stock,100,1080
3638934329859410000,,Opening Stock,100,1080
3638934329859410000,,Opening Stock,100,1080
3638912910765230000,,Opening Stock,100,1080
3638912910765230000,,Opening Stock,100,1080
3638855976393540000,,Opening Stock,100,1080
3638855976393540000,,Opening Stock,100,1080
3638826959435100000,,Opening Stock,100,1080
3638826959435100000,,Opening Stock,100,1080
3638818768890530000,,Opening Stock,100,1080
3638818768890530000,,Opening Stock,100,1080
3638808207507230000,,Opening Stock,100,1080
3638808207507230000,,Opening Stock,100,1080
3638606816272610000,,Opening Stock,100,1080
3638606816272610000,,Opening Stock,100,1080
3631734998169450000,,Opening Stock,100,1080
3631734998169450000,,Opening Stock,100,1080
3631160777718530000,,Opening Stock,100,1080
3631160777718530000,,Opening Stock,100,1080
3591293652246100000,,Opening Stock,100,1080
3591293652246100000,,Opening Stock,100,1080
3572030058321050000,,Opening Stock,100,1080
3572030058321050000,,Opening Stock,100,1080
3557498307326410000,,Opening Stock,100,1080
3557498307326410000,,Opening Stock,100,1080
3557489111759490000,,Opening Stock,100,1080
3557489111759490000,,Opening Stock,100,1080
3556693696491450000,,Opening Stock,100,1080
3556693696491450000,,Opening Stock,100,1080
3553872710440220000,,Opening Stock,100,1080
3553872710440220000,,Opening Stock,100,1080
